n.tsth	37.6078	139.7533	97
n.atdh	37.4508	139.8126	9
n.inwh	37.6461	140.1735	656
n.tdmh	37.3421	139.3147	175
n.inah	37.1723	139.5199	471
n.hmth	37.0103	139.3755	773
n.smgh	37.2544	139.8725	390
n.fksh	37.7643	140.3766	-166
n.kmah	37.6636	140.5974	104
n.mruh	37.4894	140.5380	309
n.kryh	37.3530	140.4264	59
n.nnmh	37.2822	140.2144	237
n.ybkh	37.2006	140.3386	169
n.htah	37.2169	140.5703	364
n.nguh	37.1616	140.0930	364
n.nmeh	37.4911	140.9871	-98
n.mkjh	37.4703	140.7227	408
n.iwwh	36.9951	140.5853	474
n.iweh	37.0264	140.9702	-145
n.kakh	38.5158	141.3421	-202
n.hykh	35.4327	138.3325	233
n.iw2h	39.0095	140.8640	115
n.kg3h	34.8769	138.0175	81
n.ht2h	35.0417	139.1685	-92
n.rifh	38.3400	140.9551	-1004
n.hqsh	35.7974	138.2982	724
n.hqnh	35.8501	138.2644	1102
n.atmh	34.6158	137.0419	-295
n.ashh	35.2194	137.4039	420
n.nukh	34.9189	137.2993	-10
n.tyhh	34.6643	137.3902	-302
n.houh	35.0002	137.6243	60
n.hazh	34.7884	137.1057	-392
n.anjh	34.9319	137.0568	-1045
n.kgih	35.3059	137.0570	62
n.yokh	34.9849	136.4563	150
n.oymh	34.7662	136.2835	80
n.ursh	34.5470	136.3692	179
n.wath	34.3532	136.5866	-21
n.neoh	35.6325	136.6134	67
n.nrsh	35.7604	138.3874	534
n.ymth	35.8323	136.9621	413
n.ksgh	35.4179	136.4347	308
n.tkth	35.5038	136.7939	-174
n.sykh	36.0654	136.9479	738
n.frkh	36.2448	137.1983	470
n.insh	34.8343	137.6616	-282
n.arih	34.6913	137.5604	-445
n.fkrh	34.7948	137.9034	-429
n.skuh	35.6033	136.4134	152
n.iwsh	36.3701	140.1401	-38
n.tyoh	36.1188	140.5621	-1160
n.isgh	36.1112	139.9889	-739
n.kywh	36.8817	139.4534	983
n.kyeh	36.8828	139.6459	497
n.iich	36.7084	139.7694	88
n.yith	36.8625	139.8364	459
n.otwh	36.8578	140.0225	69
n.btoh	36.7342	140.1781	-7
n.ujeh	36.6959	139.9842	40
n.eihh	36.0955	136.3617	-36
n.otah	35.9483	136.0556	18
n.izuh	35.9415	136.6990	309
n.mikh	35.5587	135.8694	-199
n.trgh	35.6390	136.0303	-114
n.tkhh	35.4907	135.4841	59
n.obmh	35.4573	135.7266	-63
n.suzh	37.5266	137.2844	-154
n.ygdh	37.3644	137.0413	17
n.ucuh	37.3458	137.2436	-189
n.tgih	37.1902	136.7176	-62
n.amzh	37.2224	136.9689	-51
n.shkh	37.0533	136.8206	-182
n.knzh	36.5150	136.6357	-701
n.tbth	36.7380	136.7906	17
n.tbyh	36.2441	139.5443	-1180
n.okch	36.2667	136.7168	453
n.himh	36.8866	136.9276	-172
n.dmoh	36.7142	137.0378	-209
n.toyh	36.7294	137.2627	-569
n.uozh	36.7914	137.4689	52
n.imih	36.5736	136.9584	-55
n.ytoh	36.5711	137.1595	-92
n.togh	36.4406	137.0392	568
n.nknh	36.7431	138.3759	179
n.msth	36.2541	137.8591	417
n.tksh	36.2859	138.2491	504
n.ksoh	35.9632	137.7669	855
n.fmih	35.9157	138.3052	1031
n.mmkh	35.9696	138.4797	1113
n.tkgh	35.5143	137.8767	298
n.ngrh	35.9118	139.1485	237
n.hryh	35.3095	137.6261	858
n.jhkh	36.4390	140.3559	-57
n.hmah	35.2768	136.7002	-1495
n.umyh	36.5595	139.8637	-177
n.awnh	36.5509	139.6154	78
n.hgah	36.5480	140.0751	-8
n.tumh	36.4917	138.5244	888
n.tayh	36.6213	138.9069	343
n.tneh	36.6998	139.2104	444
n.smnh	36.2356	138.7291	238
n.tmoh	36.2862	138.9210	-51
n.kizh	36.1509	139.0504	48
n.kwth	36.1131	139.2894	-122
n.ahih	38.2799	139.5486	-72
n.arkh	38.1326	139.4292	-217
n.skwh	38.1312	139.5426	-24
n.sroh	37.9759	139.2788	-142
n.twah	37.6708	139.4648	-234
n.kmkh	37.5438	139.3648	116
n.kmoh	37.6527	139.0676	-72
n.mrmh	37.6658	139.2610	-33
n.stdh	37.5386	139.1279	-9
n.ngoh	37.4272	138.8876	-17
n.ynth	37.2239	138.9821	0
n.kwnh	37.1728	138.7440	-40
n.muih	37.0533	138.9951	258
n.szwh	37.0303	138.8521	-202
n.yzwh	36.8114	138.7849	885
n.makh	37.0544	138.3966	130
n.mkoh	36.9425	138.2594	130
n.igwh	36.9378	137.8480	49
n.gnoh	34.8224	136.4245	-123
n.mash	34.5424	136.5033	-116
n.smah	34.2544	136.8216	-198
n.mgwh	34.3580	136.3293	28
n.owsh	34.0637	136.1689	-16
n.khoh	33.7644	135.9969	-11
n.ttnh	36.0088	137.9305	718
n.chnh	35.9465	138.1848	621
n.kokh	36.3779	137.3716	808
n.yoth	35.4865	137.2464	461
n.kysh	35.2177	136.8509	-734
n.mkgh	36.8568	138.0967	1153
n.kyth	35.0094	135.7304	-674
n.oskh	34.7159	135.5199	-1002
n.kmmh	34.8983	135.7461	-791
n.mish	33.3719	132.1157	-214
n.uumh	34.4572	134.3241	-415
n.ikwh	33.9997	133.8933	446
n.gsih	33.5294	133.8192	-132
n.mtyh	33.7543	133.5760	96
n.mroh	35.4697	134.5953	123
n.kwhh	35.3946	134.1988	-72
n.skgh	35.3649	133.7486	33
n.ksih	35.5232	133.0226	-84
n.kach	35.3422	132.8989	-55
n.okmh	34.2090	132.4063	-62
n.krhh	34.1161	132.5053	78
n.yshh	34.6629	132.6689	178
n.tguh	34.5716	132.2326	161
n.hish	34.4122	132.3907	-52
n.hhih	34.4572	132.7923	133
n.mkih	34.2700	134.1482	-52
n.ohch	34.2264	134.3043	-71
n.mykh	34.1918	133.0581	-97
